ts_code,trade_date,open,high,close,low,vol
513130.SH,20220824,0.544,0.544,0.53,0.528,6670047
513130.SH,20220825,0.537,0.554,0.553,0.536,8819847.09
513130.SH,20220826,0.567,0.57,0.561,0.56,9171140
513130.SH,20220829,0.558,0.566,0.562,0.555,5417299.01
513130.SH,20220830,0.563,0.564,0.555,0.545,6596281
513130.SH,20220831,0.548,0.574,0.564,0.546,7291336.74
513130.SH,20220901,0.559,0.567,0.554,0.553,6667691.9
513130.SH,20220902,0.558,0.559,0.548,0.544,5342511.84
513130.SH,20220905,0.544,0.544,0.54,0.534,7820000.7
513130.SH,20220906,0.542,0.544,0.54,0.534,5652375
513130.SH,20220907,0.531,0.537,0.536,0.528,7042936.19
513130.SH,20220908,0.538,0.54,0.53,0.53,4486500.37
513130.SH,20220909,0.532,0.544,0.541,0.528,7304041.37
513130.SH,20220913,0.544,0.545,0.54,0.54,3173346
513130.SH,20220914,0.53,0.531,0.527,0.524,6308246
513130.SH,20220915,0.527,0.53,0.526,0.524,4386142.94
513130.SH,20220916,0.525,0.527,0.519,0.519,5923151
513130.SH,20220919,0.512,0.513,0.507,0.504,7140621
513130.SH,20220920,0.513,0.52,0.517,0.512,6649884
513130.SH,20220921,0.511,0.512,0.505,0.504,7452041
513130.SH,20220922,0.49,0.498,0.491,0.487,13307158
513130.SH,20220923,0.49,0.494,0.487,0.484,8526978
513130.SH,20220926,0.481,0.498,0.488,0.481,10340780
513130.SH,20220927,0.491,0.497,0.496,0.486,9805150
513130.SH,20220928,0.492,0.493,0.483,0.483,9323361
513130.SH,20220929,0.491,0.492,0.473,0.47,10405802
513130.SH,20220930,0.474,0.476,0.463,0.46,11553493
513130.SH,20221010,0.463,0.466,0.458,0.457,7408218
513130.SH,20221011,0.458,0.459,0.45,0.447,10860336
513130.SH,20221012,0.446,0.461,0.456,0.432,22467586
513130.SH,20221013,0.447,0.448,0.437,0.436,23582258
513130.SH,20221014,0.442,0.454,0.443,0.441,25284212.72
513130.SH,20221017,0.434,0.438,0.437,0.428,23373979.76
513130.SH,20221018,0.449,0.453,0.452,0.441,22552088.18
513130.SH,20221019,0.451,0.453,0.441,0.44,15401263.72
513130.SH,20221020,0.426,0.438,0.429,0.421,32605953.07
513130.SH,20221021,0.431,0.435,0.428,0.426,19625776.25
513130.SH,20221024,0.413,0.422,0.395,0.394,54614736.14
513130.SH,20221025,0.398,0.416,0.401,0.386,54281480.04
513130.SH,20221026,0.402,0.421,0.405,0.4,52618514.33
513130.SH,20221027,0.42,0.422,0.408,0.408,40124254.71
513130.SH,20221028,0.406,0.407,0.388,0.386,44808035.96
513130.SH,20221031,0.389,0.407,0.395,0.386,53549449.96
513130.SH,20221101,0.402,0.431,0.426,0.4,72534761.88
513130.SH,20221102,0.42,0.437,0.433,0.416,63638927.91
513130.SH,20221103,0.424,0.432,0.42,0.42,50182187.32
513130.SH,20221104,0.425,0.462,0.45,0.425,94587832.79
513130.SH,20221107,0.44,0.47,0.463,0.438,82339545.67
513130.SH,20221108,0.464,0.469,0.457,0.454,53018266.48
513130.SH,20221109,0.457,0.464,0.444,0.444,47423027.85
513130.SH,20221110,0.439,0.441,0.435,0.434,38815574.73
513130.SH,20221111,0.47,0.472,0.465,0.459,70588881.11
513130.SH,20221114,0.487,0.49,0.475,0.471,61957937.61
513130.SH,20221115,0.473,0.511,0.507,0.47,68287044.53
513130.SH,20221116,0.507,0.52,0.502,0.499,61353904.63
513130.SH,20221117,0.5,0.503,0.501,0.486,52294583
513130.SH,20221118,0.518,0.526,0.504,0.502,51537997.75
513130.SH,20221121,0.492,0.497,0.495,0.482,41319595.89
513130.SH,20221122,0.493,0.496,0.476,0.474,43787450.87
513130.SH,20221123,0.479,0.489,0.486,0.473,41049113.89
513130.SH,20221124,0.49,0.493,0.483,0.481,23473743.5
513130.SH,20221125,0.486,0.486,0.477,0.475,25529135.72
513130.SH,20221128,0.459,0.471,0.466,0.456,39421653
513130.SH,20221129,0.483,0.497,0.495,0.478,47670930.6
513130.SH,20221130,0.498,0.507,0.505,0.496,35278924.59
513130.SH,20221201,0.531,0.54,0.522,0.519,49292165.11
513130.SH,20221202,0.519,0.53,0.519,0.515,32851512.9
513130.SH,20221205,0.541,0.56,0.559,0.534,43593681.01
513130.SH,20221206,0.547,0.569,0.55,0.546,40061722.84
513130.SH,20221207,0.552,0.573,0.545,0.544,53007211.42
513130.SH,20221208,0.543,0.563,0.561,0.54,45405247.91
513130.SH,20221209,0.567,0.581,0.575,0.559,53972200.16
513130.SH,20221212,0.565,0.573,0.557,0.556,37496080.82
513130.SH,20221213,0.556,0.569,0.56,0.553,39782758.63
513130.SH,20221214,0.567,0.569,0.562,0.552,34556975.91
513130.SH,20221215,0.559,0.561,0.549,0.547,25314921.7
513130.SH,20221216,0.546,0.559,0.553,0.539,37455660.24
513130.SH,20221219,0.557,0.569,0.548,0.545,35762983.2
513130.SH,20221220,0.541,0.542,0.528,0.525,38095299.04
513130.SH,20221221,0.533,0.536,0.529,0.529,20062709.5
513130.SH,20221222,0.545,0.563,0.558,0.542,32779533.68
513130.SH,20221223,0.549,0.559,0.549,0.545,24885093.05
513130.SH,20221226,0.545,0.546,0.54,0.54,6604333
513130.SH,20221227,0.547,0.555,0.553,0.546,10789889.88
513130.SH,20221228,0.553,0.566,0.556,0.552,24768218.02
513130.SH,20221229,0.549,0.554,0.544,0.543,23475045.97
513130.SH,20221230,0.556,0.558,0.547,0.546,20971582.66
513130.SH,20230103,0.54,0.556,0.553,0.53,30673164.15
513130.SH,20230104,0.562,0.576,0.576,0.558,29410306.01
513130.SH,20230105,0.595,0.601,0.585,0.584,33981610.5
513130.SH,20230106,0.592,0.594,0.575,0.572,29637719.07
513130.SH,20230109,0.583,0.591,0.588,0.578,27778968.25
513130.SH,20230110,0.585,0.588,0.585,0.577,19403310.18
513130.SH,20230111,0.591,0.597,0.585,0.584,23018650
513130.SH,20230112,0.588,0.59,0.57,0.567,32071485.98
513130.SH,20230113,0.574,0.579,0.578,0.568,19159114.03
513130.SH,20230116,0.581,0.584,0.57,0.568,26690244.69
513130.SH,20230117,0.573,0.583,0.573,0.569,21626790.67
513130.SH,20230118,0.573,0.582,0.577,0.569,15933727
513130.SH,20230119,0.573,0.576,0.572,0.567,15212389
513130.SH,20230120,0.578,0.587,0.585,0.575,16332779.94
513130.SH,20230130,0.609,0.611,0.588,0.587,29703073.14
513130.SH,20230131,0.589,0.593,0.572,0.571,26753582.07
513130.SH,20230201,0.582,0.597,0.596,0.577,31043205.93
513130.SH,20230202,0.604,0.608,0.6,0.596,24434358.03
513130.SH,20230203,0.593,0.597,0.591,0.584,23560509.54
513130.SH,20230206,0.577,0.58,0.57,0.567,29532459.75
513130.SH,20230207,0.573,0.584,0.576,0.572,24595963
513130.SH,20230208,0.575,0.579,0.567,0.564,20501073
513130.SH,20230209,0.562,0.584,0.583,0.561,25141445.43
513130.SH,20230210,0.578,0.58,0.562,0.56,26200236.99
513130.SH,20230213,0.555,0.565,0.562,0.551,26288446.24
513130.SH,20230214,0.565,0.567,0.557,0.557,15751117.43
513130.SH,20230215,0.559,0.561,0.554,0.548,23242265.69
513130.SH,20230216,0.56,0.578,0.565,0.558,38230741.97
513130.SH,20230217,0.564,0.571,0.554,0.554,20119538.01
513130.SH,20230220,0.555,0.563,0.561,0.548,24616621.12
513130.SH,20230221,0.558,0.559,0.544,0.541,34498793.92
513130.SH,20230222,0.537,0.542,0.535,0.531,28765328
513130.SH,20230223,0.535,0.545,0.539,0.533,30960916.66
513130.SH,20230224,0.537,0.537,0.53,0.528,25925616.05
513130.SH,20230227,0.523,0.531,0.521,0.52,35554786
513130.SH,20230228,0.527,0.529,0.518,0.513,33804460.39
513130.SH,20230301,0.519,0.545,0.545,0.517,52861117.69
513130.SH,20230302,0.534,0.54,0.537,0.533,31791560.98
513130.SH,20230303,0.549,0.553,0.551,0.541,27658085.11
513130.SH,20230306,0.546,0.552,0.548,0.541,28094787.08
513130.SH,20230307,0.545,0.557,0.536,0.534,42395495.27
513130.SH,20230308,0.53,0.531,0.524,0.52,32967023
513130.SH,20230309,0.525,0.527,0.523,0.52,28045301
513130.SH,20230310,0.505,0.507,0.497,0.496,49234122.77
513130.SH,20230313,0.502,0.514,0.507,0.5,52116558.78
513130.SH,20230314,0.504,0.509,0.494,0.491,47456568.66
513130.SH,20230315,0.504,0.511,0.5,0.498,39674278.44
513130.SH,20230316,0.495,0.507,0.495,0.494,41727502.29
513130.SH,20230317,0.506,0.517,0.513,0.504,44721080.06
513130.SH,20230320,0.514,0.516,0.5,0.498,30000533
513130.SH,20230321,0.507,0.512,0.511,0.503,35522904
513130.SH,20230322,0.519,0.528,0.52,0.518,29269533.81
513130.SH,20230323,0.518,0.536,0.536,0.516,47716970.51
513130.SH,20230324,0.537,0.553,0.543,0.536,45982112.17
513130.SH,20230327,0.546,0.547,0.538,0.53,45640501.44
513130.SH,20230328,0.537,0.542,0.537,0.53,33816120.18
513130.SH,20230329,0.56,0.564,0.551,0.549,35859885.62
513130.SH,20230330,0.555,0.56,0.551,0.546,36026935.13
513130.SH,20230331,0.563,0.564,0.557,0.553,32325468.33
513130.SH,20230403,0.554,0.557,0.554,0.55,32504889.42
513130.SH,20230404,0.553,0.554,0.55,0.543,27844277.66
513130.SH,20230406,0.54,0.548,0.544,0.539,25736480.09
513130.SH,20230407,0.55,0.554,0.553,0.549,8492208
513130.SH,20230410,0.554,0.555,0.553,0.55,10458760.71
513130.SH,20230411,0.555,0.559,0.547,0.542,30129274
513130.SH,20230412,0.549,0.552,0.539,0.539,24246411
513130.SH,20230413,0.529,0.536,0.532,0.525,29525443
513130.SH,20230414,0.54,0.542,0.536,0.531,28431245
513130.SH,20230417,0.533,0.55,0.55,0.532,33273244.78
513130.SH,20230418,0.547,0.549,0.543,0.542,23525901
513130.SH,20230419,0.543,0.544,0.535,0.533,19624283.61
513130.SH,20230420,0.532,0.536,0.533,0.53,21549663
513130.SH,20230421,0.529,0.53,0.516,0.516,27058709.59
513130.SH,20230424,0.517,0.521,0.51,0.507,23150244.61
513130.SH,20230425,0.511,0.512,0.498,0.493,27673145.74
513130.SH,20230426,0.495,0.511,0.506,0.495,31342493.69
513130.SH,20230427,0.503,0.505,0.502,0.499,20061984.68
513130.SH,20230428,0.507,0.515,0.511,0.506,20508797.15
513130.SH,20230504,0.504,0.507,0.502,0.498,25574118
513130.SH,20230505,0.509,0.514,0.508,0.505,24361027.04
513130.SH,20230508,0.51,0.514,0.51,0.506,18700240.52
513130.SH,20230509,0.509,0.51,0.496,0.495,25206356.09
513130.SH,20230510,0.498,0.501,0.499,0.492,20954919.08
513130.SH,20230511,0.504,0.509,0.499,0.498,24081397.22
513130.SH,20230512,0.512,0.515,0.508,0.506,27597844.39
513130.SH,20230515,0.504,0.519,0.516,0.502,28847935.28
513130.SH,20230516,0.522,0.524,0.518,0.517,14593643.14
513130.SH,20230517,0.522,0.524,0.516,0.515,19203094.17
513130.SH,20230518,0.518,0.523,0.517,0.515,20805213.16
513130.SH,20230519,0.512,0.515,0.511,0.509,17155139.88
513130.SH,20230522,0.511,0.523,0.521,0.508,24923232.12
513130.SH,20230523,0.522,0.525,0.512,0.512,15409164
513130.SH,20230524,0.508,0.51,0.504,0.503,17456595.47
513130.SH,20230525,0.5,0.503,0.494,0.488,35684313
513130.SH,20230526,0.49,0.492,0.492,0.487,11325455
513130.SH,20230529,0.5,0.501,0.49,0.487,25232937.2
513130.SH,20230530,0.49,0.496,0.495,0.486,27425501.78
513130.SH,20230531,0.489,0.49,0.481,0.479,26840442
513130.SH,20230601,0.484,0.498,0.489,0.483,36349198.03
513130.SH,20230602,0.499,0.514,0.511,0.498,30560542.43
513130.SH,20230605,0.509,0.516,0.513,0.507,24269034.9
513130.SH,20230606,0.514,0.523,0.511,0.51,25762721.08
513130.SH,20230607,0.524,0.528,0.525,0.521,25306236.55
513130.SH,20230608,0.524,0.526,0.523,0.517,20918258.38
513130.SH,20230609,0.526,0.53,0.53,0.519,19512098.39
513130.SH,20230612,0.53,0.532,0.53,0.524,14791711.69
513130.SH,20230613,0.53,0.548,0.545,0.53,26420460.29
513130.SH,20230614,0.547,0.555,0.545,0.544,21102611
513130.SH,20230615,0.555,0.562,0.562,0.555,22245456.93
513130.SH,20230616,0.568,0.575,0.569,0.563,23460278.2
513130.SH,20230619,0.566,0.568,0.559,0.554,21009293.64
513130.SH,20230620,0.561,0.565,0.55,0.548,21696628
513130.SH,20230621,0.54,0.545,0.537,0.536,23074783.36
513130.SH,20230626,0.525,0.533,0.528,0.523,22259781.77
513130.SH,20230627,0.531,0.541,0.54,0.529,21118526.67
513130.SH,20230628,0.538,0.546,0.545,0.533,21001822.31
513130.SH,20230629,0.543,0.544,0.536,0.535,15719521
513130.SH,20230630,0.535,0.538,0.533,0.531,20483291
513130.SH,20230703,0.537,0.554,0.553,0.537,26934051
513130.SH,20230704,0.551,0.558,0.552,0.546,22282456.36
513130.SH,20230705,0.552,0.555,0.546,0.544,16634396.42
513130.SH,20230706,0.543,0.553,0.539,0.533,28245282.55
513130.SH,20230707,0.536,0.539,0.532,0.526,30549414
513130.SH,20230710,0.543,0.547,0.536,0.534,23940977.22
513130.SH,20230711,0.545,0.549,0.545,0.54,21726920
513130.SH,20230712,0.547,0.556,0.549,0.546,20421107.13
513130.SH,20230713,0.563,0.572,0.57,0.563,24652296.96
513130.SH,20230714,0.576,0.578,0.567,0.565,20154164
513130.SH,20230717,0.563,0.564,0.559,0.557,6035783.96
513130.SH,20230718,0.565,0.566,0.558,0.557,16073304
513130.SH,20230719,0.551,0.561,0.56,0.546,22318528.5
513130.SH,20230720,0.562,0.566,0.55,0.549,29606362
513130.SH,20230721,0.549,0.56,0.553,0.547,19340867.98
513130.SH,20230724,0.545,0.554,0.543,0.541,24554201
513130.SH,20230725,0.565,0.571,0.571,0.562,28868236.44
513130.SH,20230726,0.568,0.571,0.57,0.565,17492582.23
513130.SH,20230727,0.58,0.587,0.582,0.577,28863053.02
513130.SH,20230728,0.579,0.606,0.603,0.578,38194450.05
513130.SH,20230731,0.624,0.633,0.619,0.615,43313503
513130.SH,20230801,0.62,0.632,0.611,0.61,40297147
513130.SH,20230802,0.61,0.616,0.594,0.593,34973675
513130.SH,20230803,0.595,0.605,0.604,0.593,34399768
513130.SH,20230804,0.614,0.617,0.607,0.603,37903617.52
513130.SH,20230807,0.603,0.612,0.609,0.598,24016369.48
513130.SH,20230808,0.599,0.604,0.597,0.593,25467266.08
513130.SH,20230809,0.588,0.596,0.592,0.585,23645166
513130.SH,20230810,0.588,0.595,0.593,0.585,26675058
513130.SH,20230811,0.596,0.597,0.58,0.58,32342784.68
513130.SH,20230814,0.565,0.572,0.57,0.563,32754376
513130.SH,20230815,0.572,0.577,0.571,0.566,36666634
513130.SH,20230816,0.563,0.569,0.56,0.559,32745704.3
513130.SH,20230817,0.551,0.57,0.57,0.549,55168289.35
513130.SH,20230818,0.561,0.564,0.548,0.547,45151265.32
513130.SH,20230821,0.542,0.549,0.536,0.535,41288005
513130.SH,20230822,0.542,0.552,0.548,0.533,52384252.93
513130.SH,20230823,0.546,0.553,0.544,0.539,41453654.1
513130.SH,20230824,0.551,0.567,0.564,0.55,47770817.74
513130.SH,20230825,0.556,0.56,0.554,0.553,37126796.26
513130.SH,20230828,0.589,0.597,0.564,0.563,59800215.09
513130.SH,20230829,0.567,0.581,0.578,0.566,43238618.07
513130.SH,20230830,0.584,0.588,0.572,0.571,46503048.45
513130.SH,20230831,0.576,0.581,0.569,0.568,39218144.35
513130.SH,20230901,0.573,0.575,0.572,0.57,11535951.78
513130.SH,20230904,0.581,0.585,0.583,0.575,35329204.08
513130.SH,20230905,0.58,0.582,0.573,0.57,29807054.04
513130.SH,20230906,0.568,0.571,0.568,0.563,30768871.65
513130.SH,20230907,0.568,0.568,0.559,0.559,26950029.79
513130.SH,20230908,0.55,0.556,0.551,0.548,15864162
513130.SH,20230911,0.549,0.558,0.554,0.546,42695319
513130.SH,20230912,0.554,0.562,0.557,0.551,26849109.96
513130.SH,20230913,0.557,0.559,0.552,0.549,25100841.5
513130.SH,20230914,0.553,0.557,0.554,0.55,22341201
513130.SH,20230915,0.556,0.561,0.557,0.55,34746688.66
513130.SH,20230918,0.552,0.554,0.548,0.546,30361313.2
513130.SH,20230919,0.547,0.548,0.544,0.54,24427070.01
513130.SH,20230920,0.542,0.543,0.538,0.535,25008262
513130.SH,20230921,0.533,0.534,0.527,0.524,30941849.57
513130.SH,20230922,0.523,0.543,0.541,0.523,42159312.59
513130.SH,20230925,0.54,0.54,0.531,0.53,22973970
513130.SH,20230926,0.529,0.53,0.524,0.522,28815753
513130.SH,20230927,0.524,0.531,0.527,0.523,30889774.46
513130.SH,20230928,0.527,0.528,0.518,0.516,28513344.15
513130.SH,20231009,0.521,0.525,0.522,0.519,21470887.88
513130.SH,20231010,0.528,0.536,0.529,0.527,34566359.03
513130.SH,20231011,0.539,0.544,0.539,0.536,28056012.31
513130.SH,20231012,0.548,0.549,0.545,0.544,19447828.42
513130.SH,20231013,0.532,0.537,0.532,0.528,27743627.65
513130.SH,20231016,0.53,0.53,0.52,0.519,24656024
513130.SH,20231017,0.524,0.527,0.524,0.521,22692445.75
513130.SH,20231018,0.522,0.522,0.516,0.515,26895277
513130.SH,20231019,0.508,0.511,0.506,0.506,30640961.25
513130.SH,20231020,0.503,0.509,0.505,0.502,26152292
513130.SH,20231023,0.501,0.501,0.497,0.494,9655901.78
513130.SH,20231024,0.5,0.504,0.501,0.493,33596872
513130.SH,20231025,0.517,0.522,0.512,0.508,44726128.66
513130.SH,20231026,0.508,0.516,0.512,0.506,26188834.45
513130.SH,20231027,0.514,0.529,0.527,0.513,46974914.83
513130.SH,20231030,0.523,0.533,0.531,0.521,25850869.63
513130.SH,20231031,0.53,0.53,0.524,0.52,20841254.27
513130.SH,20231101,0.526,0.527,0.52,0.515,24930219.48
513130.SH,20231102,0.527,0.534,0.524,0.523,25704333.33
513130.SH,20231103,0.531,0.543,0.54,0.529,34104684.05
